unicode dec,unicode hex,character,name
45516,B1CC,뇌,uniB1CC
45520,B1D0,뇐,uniB1D0
45524,B1D4,뇔,uniB1D4
45532,B1DC,뇜,uniB1DC
45533,B1DD,뇝,uniB1DD
45535,B1DF,뇟,uniB1DF
45544,B1E8,뇨,uniB1E8
45545,B1E9,뇩,uniB1E9
45548,B1EC,뇬,uniB1EC
45552,B1F0,뇰,uniB1F0
45561,B1F9,뇹,uniB1F9
45563,B1FB,뇻,uniB1FB
45565,B1FD,뇽,uniB1FD
45572,B204,누,uniB204
45573,B205,눅,uniB205
45576,B208,눈,uniB208
45579,B20B,눋,uniB20B
45580,B20C,눌,uniB20C
45588,B214,눔,uniB214
45589,B215,눕,uniB215
45591,B217,눗,uniB217
45593,B219,눙,uniB219
45600,B220,눠,uniB220
45620,B234,눴,uniB234
45628,B23C,눼,uniB23C
45656,B258,뉘,uniB258
45660,B25C,뉜,uniB25C
45664,B260,뉠,uniB260
45672,B268,뉨,uniB268
45673,B269,뉩,uniB269
45684,B274,뉴,uniB274
45685,B275,뉵,uniB275
45692,B27C,뉼,uniB27C
45700,B284,늄,uniB284
45701,B285,늅,uniB285
45705,B289,늉,uniB289
45712,B290,느,uniB290
45713,B291,늑,uniB291
45716,B294,는,uniB294
45720,B298,늘,uniB298
45721,B299,늙,uniB299
45722,B29A,늚,uniB29A
45728,B2A0,늠,uniB2A0
45729,B2A1,늡,uniB2A1
45731,B2A3,늣,uniB2A3
45733,B2A5,능,uniB2A5
45734,B2A6,늦,uniB2A6
45738,B2AA,늪,uniB2AA
45740,B2AC,늬,uniB2AC
45744,B2B0,늰,uniB2B0
45748,B2B4,늴,uniB2B4
45768,B2C8,니,uniB2C8
45769,B2C9,닉,uniB2C9
45772,B2CC,닌,uniB2CC
45776,B2D0,닐,uniB2D0
45778,B2D2,닒,uniB2D2
45784,B2D8,님,uniB2D8
45785,B2D9,닙,uniB2D9
45787,B2DB,닛,uniB2DB
45789,B2DD,닝,uniB2DD
45794,B2E2,닢,uniB2E2
45796,B2E4,다,uniB2E4
45797,B2E5,닥,uniB2E5
45798,B2E6,닦,uniB2E6
45800,B2E8,단,uniB2E8
45803,B2EB,닫,uniB2EB
45804,B2EC,달,uniB2EC
45805,B2ED,닭,uniB2ED
45806,B2EE,닮,uniB2EE
45807,B2EF,닯,uniB2EF
45811,B2F3,닳,uniB2F3
45812,B2F4,담,uniB2F4
45813,B2F5,답,uniB2F5
45815,B2F7,닷,uniB2F7
45816,B2F8,닸,uniB2F8
45817,B2F9,당,uniB2F9
45818,B2FA,닺,uniB2FA
45819,B2FB,닻,uniB2FB
45823,B2FF,닿,uniB2FF
45824,B300,대,uniB300
45825,B301,댁,uniB301
45828,B304,댄,uniB304
45832,B308,댈,uniB308
45840,B310,댐,uniB310
45841,B311,댑,uniB311
45843,B313,댓,uniB313
45844,B314,댔,uniB314
45845,B315,댕,uniB315
45852,B31C,댜,uniB31C
45908,B354,더,uniB354
45909,B355,덕,uniB355
45910,B356,덖,uniB356
45912,B358,던,uniB358
45915,B35B,덛,uniB35B
45916,B35C,덜,uniB35C
45918,B35E,덞,uniB35E
